ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2019-07-13,67.28843103205107,69.20914412221525,71.53571099816372,67.28843103205107,67.28843103205107,3.1123083595317893,3.1123083595317893,3.1123083595317893,0.024297624121505743,0.024297624121505743,0.024297624121505743,3.0880107354102835,3.0880107354102835,3.0880107354102835,0.0,0.0,0.0,70.40073939158286
2019-07-14,67.1716134558123,69.25968248293934,71.52017245315155,67.1716134558123,67.1716134558123,3.192350707042515,3.192350707042515,3.192350707042515,-0.00030259670778430656,-0.00030259670778430656,-0.00030259670778430656,3.192653303750299,3.192653303750299,3.192653303750299,0.0,0.0,0.0,70.36396416285483
2019-07-15,67.05479587957355,69.11559995144954,71.41696844500116,67.05479587957355,67.05479587957355,3.189840101538945,3.189840101538945,3.189840101538945,-0.10131879899669693,-0.10131879899669693,-0.10131879899669693,3.291158900535642,3.291158900535642,3.291158900535642,0.0,0.0,0.0,70.2446359811125
2019-07-16,66.93797830333479,69.28281187123893,71.5669495852911,66.93797830333479,66.93797830333479,3.4525927204510056,3.4525927204510056,3.4525927204510056,0.06890768877161631,0.06890768877161631,0.06890768877161631,3.383685031679389,3.383685031679389,3.383685031679389,0.0,0.0,0.0,70.3905710237858
2019-07-18,66.70434315085727,69.03172106896709,71.33960856510161,66.70434315085727,66.70434315085727,3.517109089178613,3.517109089178613,3.517109089178613,-0.03430953537500262,-0.03430953537500262,-0.03430953537500262,3.551418624553616,3.551418624553616,3.551418624553616,0.0,0.0,0.0,70.22145224003589
2019-07-23,66.12025526966346,68.89886644163569,71.22392627107394,66.12025526966346,66.12025526966346,3.9439826558771265,3.9439826558771265,3.9439826558771265,0.06890768877148436,0.06890768877148436,0.06890768877148436,3.8750749671056424,3.8750749671056424,3.8750749671056424,0.0,0.0,0.0,70.06423792554058
2019-07-25,65.88662011718594,68.75517095364827,71.03260554921108,65.88662011718594,65.88662011718594,3.9327870596610413,3.9327870596610413,3.9327870596610413,-0.03430953537472117,-0.03430953537472117,-0.03430953537472117,3.9670965950357626,3.9670965950357626,3.9670965950357626,0.0,0.0,0.0,69.81940717684698
2019-07-26,65.76980254094717,68.51297529221254,70.80806483381167,65.76980254094717,65.76980254094717,3.9588576992792492,3.9588576992792492,3.9588576992792492,-0.04603593919991421,-0.04603593919991421,-0.04603593919991421,4.004893638479164,4.004893638479164,4.004893638479164,0.0,0.0,0.0,69.72866024022642
2019-07-27,65.77376479734936,68.71428398020474,70.98306038805042,65.77376479734936,65.77376479734936,4.061354859965301,4.061354859965301,4.061354859965301,0.02429762412150861,0.02429762412150861,0.02429762412150861,4.037057235843792,4.037057235843792,4.037057235843792,0.0,0.0,0.0,69.83511965731466
2019-07-28,65.77772705375156,68.69564927484721,71.03871147335276,65.77772705375156,65.77772705375156,4.063141272814052,4.063141272814052,4.063141272814052,-0.0003025967079892746,-0.0003025967079892746,-0.0003025967079892746,4.063443869522041,4.063443869522041,4.063443869522041,0.0,0.0,0.0,69.84086832656561
2019-07-29,65.78168931015375,68.6482166487276,70.89508636976646,65.78168931015375,65.78168931015375,3.9825815795937323,3.9825815795937323,3.9825815795937323,-0.10131879899673307,-0.10131879899673307,-0.10131879899673307,4.0839003785904655,4.0839003785904655,4.0839003785904655,0.0,0.0,0.0,69.76427088974748
2019-07-30,65.78565156655594,68.73159972667165,71.11422183284186,65.78565156655594,65.78565156655594,4.1671821652942445,4.1671821652942445,4.1671821652942445,0.06890768877149334,0.06890768877149334,0.06890768877149334,4.09827447652275,4.09827447652275,4.09827447652275,0.0,0.0,0.0,69.95283373185019
2019-08-01,65.79357607936032,68.75001047286669,71.02279720529359,65.79357607936032,65.79357607936032,4.073931379990278,4.073931379990278,4.073931379990278,-0.03430953537500419,-0.03430953537500419,-0.03430953537500419,4.108240915365283,4.108240915365283,4.108240915365283,0.0,0.0,0.0,69.8675074593506
